2024-10-12T10:48:57.596Z,"""sc-03-prod-westeurope-054e6293-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:57.596Z,"""sc-03-prod-westeurope-054e6293-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:40.230Z,"""sc-03-prod-westeurope-67080139-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:40.230Z,"""sc-03-prod-westeurope-67080139-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:33.324Z,"""sc-03-prod-westeurope-5eb018b9-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:33.323Z,"""sc-03-prod-westeurope-5eb018b9-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:23.730Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:23.730Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:23.457Z,"""sc-03-prod-westeurope-94ece8d2-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:23.457Z,"""sc-03-prod-westeurope-94ece8d2-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:17.266Z,"""sc-03-prod-westeurope-67080139-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:17.266Z,"""sc-03-prod-westeurope-67080139-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:17.135Z,"""sc-03-prod-westeurope-5eb018b9-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:17.135Z,"""sc-03-prod-westeurope-5eb018b9-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:16.596Z,"""sc-03-prod-westeurope-054e6293-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:16.596Z,"""sc-03-prod-westeurope-054e6293-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:16.178Z,"""sc-03-prod-westeurope-67080139-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:16.178Z,"""sc-03-prod-westeurope-67080139-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:16.039Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:16.039Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:14.740Z,"""sc-03-prod-westeurope-054e6293-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:48:14.740Z,"""sc-03-prod-westeurope-054e6293-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:47:56.940Z,"""sc-03-prod-westeurope-94ece8d2-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:47:56.939Z,"""sc-03-prod-westeurope-94ece8d2-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:47:35.594Z,"""sc-03-prod-westeurope-054e6293-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:47:35.594Z,"""sc-03-prod-westeurope-054e6293-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:47:31.207Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:47:31.206Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:47:20.255Z,"""sc-03-prod-westeurope-94ece8d2-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:47:20.255Z,"""sc-03-prod-westeurope-94ece8d2-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:46:41.709Z,"""sc-03-prod-westeurope-67080139-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:46:41.709Z,"""sc-03-prod-westeurope-67080139-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:46:41.707Z,"""sc-03-prod-westeurope-054e6293-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:46:41.707Z,"""sc-03-prod-westeurope-054e6293-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:46:34.240Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:46:34.240Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:46:33.789Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:46:33.789Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:46:33.692Z,"""sc-03-prod-westeurope-67080139-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:46:33.692Z,"""sc-03-prod-westeurope-67080139-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:46:00.109Z,"""sc-03-prod-westeurope-67080139-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:46:00.107Z,"""sc-03-prod-westeurope-67080139-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:45:33.544Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:45:33.543Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:44:55.747Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:44:55.747Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:44:50.961Z,"""sc-03-prod-westeurope-5eb018b9-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:44:50.960Z,"""sc-03-prod-westeurope-5eb018b9-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:44:50.523Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:44:50.521Z,"""sc-03-prod-westeurope-369a0afb-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:44:47.542Z,"""sc-03-prod-westeurope-94ece8d2-cast000000-sc-03-prod-westeurope""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T10:44:47.542Z,"""sc-03-prod-westeurope-94ece8d2-cast000000-sc-03-prod-westeurope""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T09:55:16.553Z,"""sc-03-prod-eastus2-15bb3d71-cast000000-sc-03-prod-eastus2""","""df-service""",Receiving empty or null Map of inactive version and master ids from DMDS,CACHE-ERROR
2024-10-12T08:07:09.105Z,"""sc-03-prod-westeurope-054e6293-cast000000-sc-03-prod-westeurope""","""df-service""",Receiving empty or null Map of inactive version and master ids from DMDS,CACHE-ERROR
2024-10-12T07:26:52.387Z,"""sc-03-prod-southeastasia-272672f0-cast000000-sc-03-prod-southeastasia""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T07:26:52.387Z,"""sc-03-prod-southeastasia-272672f0-cast000000-sc-03-prod-southeastasia""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T07:26:25.406Z,"""sc-03-prod-southeastasia-d28f1b19-cast000000-sc-03-prod-southeastasia""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T07:26:25.405Z,"""sc-03-prod-southeastasia-d28f1b19-cast000000-sc-03-prod-southeastasia""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T07:25:45.297Z,"""sc-03-prod-southeastasia-9eebd485-cast000000-sc-03-prod-southeastasia""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T07:25:45.296Z,"""sc-03-prod-southeastasia-9eebd485-cast000000-sc-03-prod-southeastasia""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T07:25:40.740Z,"""sc-03-prod-southeastasia-9eebd485-cast000000-sc-03-prod-southeastasia""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T07:25:40.739Z,"""sc-03-prod-southeastasia-9eebd485-cast000000-sc-03-prod-southeastasia""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T07:24:58.584Z,"""sc-03-prod-southeastasia-d28f1b19-cast000000-sc-03-prod-southeastasia""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T07:24:58.584Z,"""sc-03-prod-southeastasia-d28f1b19-cast000000-sc-03-prod-southeastasia""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T07:23:36.683Z,"""sc-03-prod-southeastasia-272672f0-cast000000-sc-03-prod-southeastasia""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T07:23:36.683Z,"""sc-03-prod-southeastasia-272672f0-cast000000-sc-03-prod-southeastasia""","""df-service""",Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
2024-10-12T07:23:36.675Z,"""sc-03-prod-southeastasia-d28f1b19-cast000000-sc-03-prod-southeastasia""","""df-service""",ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,CACHE-ERROR
